S.no,Name,Party,Committees,NA
276,Dr. Asma Mamdot,PML(N),"[Planning and Development,Postal Services,States and Frontier Regions]",(Women)
277,Syed Iftikhar Ul Hassan (Chairman),PML(N),[Postal Services],NA-113
278,Chaudhry Khadim Hussain,PML(N),[Postal Services],NA-62
279,Nawabzada Raja Matloob Mehdi,PML(N),[Postal Services],NA-63
280,Khwaja Ghulam Rasool Koreja,PPPP,[Postal Services],NA-192
281,Muhammad Muzammil Qureshi,MQM,[Postal Services],NA-253
282,Syed Imran Ahmad Shah (Chairman),PML(N),[Privatization],NA-160
283,Syed Naveed Qamar (Chairman),PPPP,[Railways],NA-222
284,Sheikh Rasheed Ahmed,AML,[Railways],NA-55
285,Ms Shagufta Jumani (Chairperson),PPPP,[Religious Affairs and Inter-faith Harmony],(Women)
286,Mr Bismillah Khan,IND,"[Religious Affairs and Inter-faith Harmony,States and Frontier Regions]",NA-43
287,Muhammad Kamal Malik,MQM,"[Religious Affairs and Inter-faith Harmony,States and Frontier Regions]",NA-245
288,Begum Majeeda Wyne,PML(N),[Religious Affairs and Inter-faith Harmony],(Women)
289,Ch.Tariq Bashir Cheema (Chairman),PML,[Science and Technology],NA-187
290,Chaudhary Muhammad Ashraf,PML(N),"[Science and Technology,Statistics]",NA-161
291,Mr Muhammad Jamal ud Din (Chairman),JUI-F,[States and Frontier Regions],NA-42
292,Mr Ghalib Khan,PML(N),[States and Frontier Regions],NA-41
293,Dr. Ramesh Kumar Vankwani (Chairman),PML(N),[Statistics],(Minority)
294,Mohammad Raza Hayat Harraj,PML(N),[Statistics],NA-156
295,Jamshed Ahmad Dasti,IND,[Statistics],NA-178
296,Khalid Hussain Magsi (Chairman),PML(N),[Water Resources],NA-267
